onset_seconds,speaker_id
0.0,1
1.0,2
3.0,1
4.0,2
15.0,1
17.0,2
26.0,1
28.0,2
46.0,1
47.0,2
48.0,1
50.0,2
86.0,1
88.0,2
116.0,1
118.0,2
184.0,2
194.0,1
195.0,2
203.0,1
208.0,2
235.0,2
244.0,1
249.0,2
252.0,1
253.0,2
254.0,1
256.0,2
261.0,1
263.0,2
267.0,1
282.0,2
293.0,1
294.0,2
296.0,1
298.0,2
303.0,1
307.0,2
329.0,1
332.0,2
333.0,1
334.0,2
341.0,1
349.0,2
355.0,1
363.0,2
364.0,1
371.0,2
377.0,1
382.0,2
392.0,1
394.0,2
398.0,1
400.0,2
403.0,1
404.0,2
406.0,1
413.0,2
418.0,1
437.0,2
438.0,1
444.0,2
445.0,1
447.0,2
457.0,1
461.0,2
471.0,1
479.0,2
480.0,1
501.0,2
504.0,1
520.0,3
535.0,1
550.0,2
555.0,3
560.0,2
601.0,2
620.0,1
625.0,2
630.0,1
632.0,3
635.0,2
636.0,3
646.0,1
665.0,2
666.0,1
683.0,2
695.0,1
699.0,2
709.0,3
742.0,3
778.0,3
789.0,1
792.0,3
796.0,1
798.0,3
804.0,2
818.0,1
819.0,2
850.0,1
857.0,2
876.0,1
884.0,2
920.0,1
929.0,2
931.0,1
952.0,2
969.0,3
976.0,1
981.0,3
988.0,2
998.0,4
998.0,2
1002.0,4
1002.0,2
1004.0,4
1008.0,2
1015.0,3
1048.0,1
1054.0,4
1055.0,3
1056.0,4
1060.0,3
1060.0,4
1061.0,3
1065.0,4
1071.0,3
1082.0,4
1084.0,3
1086.0,4
1088.0,3
1095.0,4
1097.0,2
1100.0,4
1101.0,2
1115.0,3
1132.0,4
1148.0,2
1149.0,4
1166.0,2
1182.0,4
1183.0,2
1190.0,3
1221.0,3
1242.0,1
1246.0,3
1277.0,4
1279.0,3
1295.0,4
1301.0,2
1311.0,1
1312.0,2
1313.0,1
1316.0,4
1321.0,2
1353.0,4
1371.0,2
1380.0,1
1384.0,4
1386.0,1
1400.0,2
1403.0,1
1441.0,2
1445.0,3
1469.0,1
1479.0,3
1481.0,1
1490.0,3
1492.0,1
1495.0,3
1503.0,1
1513.0,3
1515.0,1
1528.0,2
1535.0,3
1536.0,2
1548.0,1
1548.0,2
1552.0,1
1557.0,2
1559.0,1
1574.0,2
1576.0,1
1614.0,1
1644.0,3
1661.0,1
1662.0,3
1669.0,1
1694.0,1
1694.0,3
1699.0,3
1699.0,1
1699.0,3
1699.0,4
1701.0,1
1706.0,3
1711.0,1
1712.0,2
1716.0,1
1716.0,4
1720.0,1
1743.0,4
1743.0,1
1758.0,3
1777.0,1
1782.0,3
1784.0,1
1785.0,3
1794.0,1
1799.0,3
1799.0,1
1810.0,3
1814.0,2
1826.0,4
1827.0,2
1834.0,4
1847.0,2
1849.0,4
1900.0,2
1904.0,3
1910.0,4
1921.0,3
1923.0,4
1945.0,3
1981.0,4
1983.0,3
1983.0,4
1985.0,3
1986.0,4
1991.0,3
