onset_seconds,speaker_id,text
0.0,1,Fala gente.
1.0,2,Bom dia
2.0,3,Bom dia Joana. Bom dia [PERSON_B].
4.0,1,beleza
5.0,3,Tudo beleza e vocês?
9.0,2,Tudo beleza também.
13.0,3,E a Tainá?
16.0,2,Tá entrando vamos ver.
18.0,3,Tá esperando um pouquinho. Passou muito frio em [UNRESOLVED_ENTITY].
25.0,1,"p*** m****, cara, tava frio para caramba aqui. Tô com saudade já desse frio aí."
34.0,3,"Eu acompanhei lá na televisão tava nevando um monte lá, né?"
37.0,1,"Teve um dia a gente chegou na sexta no sábado, a gente foi assistir um jogo da [UNRESOLVED_ENTITY] à noite, né? Aí a gente saiu do hotel tava caindo nos primeiros pouquinhos aí eu falei nossa, que bonita. Tirei uma foto gravando um vídeo, beleza? Vamos para o ginásio. Aí quando a gente saiu umas 2 horas e meia depois meu [UNRESOLVED_ENTITY] tava cobrindo os carros assim ó, não dava para ver os caras era só um blocão de [UNRESOLVED_ENTITY] assim os caras já passando as motoneta na rua lá o chão você pisava assim afundava até o tornozelo na [UNRESOLVED_ENTITY]. Você é louco."
70.0,3,Nossa que bacana.
72.0,1,"Nesse momento foi super legal mano dia seguinte quando derrete cara, fica uma lama só."
78.0,3,E lisa né?
79.0,1,É liso.
85.0,2,A Tainá falou que já pediu para entrar.
99.0,3,"Bom dia Tainá, tudo bom?"
102.0,4,Bom dia tudo bem e vocês?
105.0,2,beleza
105.0,3,Vamos começar então.
106.0,2,"Vamos lá, tô abrindo."
108.0,4,bora
111.0,2,a tela já
113.0,4,sim
114.0,2,"Beleza então, vamos começar com as boas notícias. Quem quer começar?"
122.0,1,"Tem bastante coisa, né?"
122.0,2,bastante coisa
126.0,1,é
129.0,4,"Ah acho que a gente pode começar falando do principal, né que foi a nossa. Nossa, vida na [PARTNER_B], acho que a gente foi com o intuito, né? Depois a gente tem que fazer até a ficha de aprendizado a gente foi com intuito principal que era visitar [UNRESOLVED_ENTITY] Verificar como é o processo deles em relação a bateria em relação ao caminho elétrico da [PARTNER_B] e por fim a gente saiu com uma."
159.0,4,"Mais feliz e mais e com uma outra visão, né? Porque o pessoal da [PARTNER_B] ele a gente teve reuniões com o pessoal de inovação e eles gostaram muito da ideia. Ele já estavam na verdade pensando em algo do tipo. Como reutilizar as baterias essa questão de segunda vida, mas pelo que a gente entendeu, eles não tem nada ainda decidido e ele se interessaram muito demonstraram muito entusiasmo com a ideia pediram."
192.0,4,"gente marcar outras reuniões para ir falando tratando falaram sobre Aquela questão de investimento por parte do governo, né? Da hora que tá até comigo essa [UNRESOLVED_ENTITY] tava né? E aí ele citaram isso todos os projetos da [PARTNER_B] ela eles são entre aspas, né patrocinados por esses órgãos então a [PARTNER_B] não paga nada de projeto assim de inovação, tudo é feito através desse desses órgãos, então é bem legal."
227.0,4,aí
228.0,3,"Tem que ver como é que eles fazem isso, pode anotar uma Exu aí tá?"
232.0,4,"Isso. Inclusive, a gente tem reunião já marcada, né?"
244.0,1,"Contato dele eu passei os nossos e-mails para ele e ele falou que vai marcar então assim e a data definida. Eu só falei. Se tivesse como não ser na quarta-feira seria melhor, mas ele falou que ele mandava. Eu até perguntei se você não queria que a gente mandasse você falou não pode deixar comigo então, beleza?"
263.0,4,E ele é o cara que conhece a galera toda assim dos responsáveis do
268.0,1,o governo
270.0,4,"governo que faz que patrocina que faz essas coisas, ele tem muitos contatos. Ele é uma pessoa muito muito boa e ele tá super disposto em ajudar e até fazer uma parceria. Visando o [UNRESOLVED_ENTITY] [PARTNER_B] mesmo não só grupo [PARTNER_A] não só grupo trator, mas [UNRESOLVED_ENTITY] [PARTNER_B] que aí já entra áudio [UNRESOLVED_ENTITY] Enfim, então a gente ficou bem animado com essa visita. E aí agora a gente tem bastante. Abrir bastante lixo, né? Porque a gente tem que fazer reunião com ele com o pessoal da [PARTNER_B] veículos. Como que fala? Carros carros porque eles também estão envolvidos poucos caminhões e ônibus a gente da [PARTNER_A] enfim."
319.0,4,E é isso?
320.0,3,"[UNRESOLVED_ENTITY] é tem essa do parceria tem o do investimento e tem parceria, viu? Essa da parceria pode por investidor também aí né?"
331.0,4,"Ele disse esses caras. Eles pagam assim o governo né? Ele paga salário viagens, tudo é tudo o governo que vai bancar."
344.0,3,"Se vocês conseguirem é que tá Tá bem em cima da hora sabe dá para correr,"
344.0,4,Entendeu?
349.0,3,"né? Mas já imaginou se vocês chegam lá ó, o que nós queremos fazer nos próximos seis meses é isso e o dinheiro vem de tal lugar."
359.0,4,Pois é não e mais ele falou na
361.0,3,"Consegue. Então melhor ainda, né? Faz um planejamento."
361.0,4,verdade seis meses ainda é pouco porque ele falou assim que ele falou assim daqui três anos nossos caminhões elétricos vão começar a ter 10 anos. Então vai ter muita coisa retornando bateria peça enfim trocando né? Na verdade então a gente consegue um investimento para três anos. Ele falou.
387.0,3,"De três anos a gente pode planejar lá na planilha, né? E ainda acerta com eles junto. Porque se vocês conseguirem uma parceira, veja que a A construção do não fica muito difícil, né? Porque daí é mais ou menos assim, a [PARTNER_A] ela tem que fazer a decisão ou ela quer 100% para ela ou ela quer dividir com a [PARTNER_B]."
416.0,4,exato É
417.0,3,"Ou ela quer deixar a ideia com a [PARTNER_B] porque a [PARTNER_B] já se interessou, né? Então ela ela eu não quero tá bom? Então, provavelmente a ideia vai ser da [PARTNER_B], eles vão fazer porque eles gostaram né? Então daí imaginou o risco de arrependimento daqui 5 10 anos deu super certo e o executivo da [PARTNER_A] disse não. Então aqui a faca de dois gumes o fato eu preciso arrumar investimento para entrar no negócio, né? Mas eu posso me arrepender muito seu negócio for muito bom, né? Então olha esse daí tem que ser uma exu e tem que ser trabalhada rápida, porque vocês tem pouco tempo."
458.0,3,"Os dois os dois, né? As duas e shows uma é como fazer a parceria com as [PARTNER_B]? para continuar"
470.0,1,"É até assim nos comentários de mesmo que seja alguma coisa, que seja parte, talvez de uma solução maior dentro do grupo volps etc, o que demora um pouco mais de tempo para uma Tainá falou é uma coisa. Que que tem que ser trabalhada com mais tempo, né? Eles também acharam tipo por seis meses é muito pouco para conseguir desenrolar tudo isso então. Eles comentaram sobre né? Não só interesse deles, mas também de ter um financiamento que a empresa não precisa tirar um tostão do rosto e nos dá tempo."
505.0,2,"é eu que também foi interessante é que a gente viu que agilidade do [UNRESOLVED_ENTITY] na internet tipo de coisa, ele é um cara que assim você vê que ele é ele tem contatos aí dentro dessas agências aí [UNRESOLVED_ENTITY] e ele tem Ele tem os caminhos mais fáceis."
522.0,3,"Não isso tem e Sem contato, eu vou te dizer é quase impossível, porque você leu e edital descobrir como é que faz o negócio. se inscrever"
534.0,2,"E ele fala que depois que você já tem os contatos, ele percebe que assim tem muito edital que já é casado com projeto específico, por exemplo, ele já tem"
542.0,3,e
544.0,2,já sabe que vai abrir um edital exatamente do jeito de um projeto lá da [UNRESOLVED_ENTITY] antes porque sabe que os contatos tão fortes um com o outro então tem que começar a estabelecer esse tipo de contato também para demonstrar interesse.
554.0,3,"sim Acontece as duas. Nossa, dá vontade de ir direto para resolver elas, mas vamos vamos na sequência. Vamos se segurar, vamos se segurar aí?"
570.0,2,Aí de boas notícias. Mas a gente pode dizer que a gente daí com a questão da visita lá na [UNRESOLVED_ENTITY] luckesi desmanche para fazer a análise das baterias de Enchente junto com o pessoal dá um pack tá agendado aí para quarta-feira. certo
589.0,3,Muito bom.
592.0,2,Mais alguma coisa gente.
596.0,4,Acho que não acho que natildo a gente fala um pouco sobre o restante assim sabe? explicando
601.0,2,ok Eu aqui para scorecard então. Ok aqui a gente Manteve do jeito que tava nos últimos mas essa questão do [UNRESOLVED_ENTITY] aqui é uma coisa que a gente vê a oportunidade agora além da scanner. Com essa questão da [PARTNER_B] e só precisamos atualizar aqui o número dos visitantes do site as visualizações. Isso aqui.
632.0,1,"Vamos lá, você quer qual o primeiro no site?"
633.0,2,Qualquer coisa eu pego depois com você.
637.0,3,"Mas era bom, põe o número ali só para a gente ter uma ideia por exemplo."
640.0,2,a gente estava considerando a conseguir 1000 até o final da
660.0,1,Que site? temos 1.700 de visualizações Já te passo.
698.0,3,Nossa que impressionante em 1700. não pois é
706.0,1,"visualizações Nossa esse número aí tá errado, hein 14 mil não."
715.0,4,Ou e também acho que é só um [UNRESOLVED_ENTITY] sobre isso daí né? O pessoal a gente mostrou site para o pessoal da [PARTNER_B] eles adoraram né? Só que eles acharam bem caras baterias.
728.0,3,"Tá, É mas isso, eu também tenho esse sentimento assim, porque como você não"
729.0,4,cara
729.0,1,caras
733.0,4,a bateria
734.0,1,"Estão achando o preço delas caras. É muito que ainda como não tem pessoal, não sabe se a bateria vale o preço"
