onset_seconds,speaker_id
0.0,1
309.0,2
309.0,1
318.0,2
320.0,1
321.0,3
326.0,2
332.0,1
334.0,2
335.0,1
337.0,2
383.0,2
405.0,1
405.0,2
436.0,2
446.0,1
451.0,2
472.0,1
488.0,2
489.0,1
512.0,2
522.0,1
522.0,2
527.0,1
533.0,2
533.0,1
539.0,2
543.0,1
547.0,2
558.0,4
568.0,2
580.0,1
608.0,2
615.0,1
621.0,2
624.0,1
660.0,2
675.0,1
675.0,2
717.0,2
750.0,1
763.0,2
766.0,1
767.0,5
768.0,2
811.0,1
813.0,2
816.0,5
868.0,1
874.0,5
876.0,1
887.0,5
921.0,1
932.0,5
933.0,1
961.0,5
992.0,1
1011.0,4
1024.0,2
1030.0,4
1113.0,4
1134.0,1
1162.0,2
1164.0,1
1183.0,2
1194.0,1
1201.0,5
1205.0,1
1245.0,5
1257.0,1
1261.0,5
1263.0,2
1265.0,1
1319.0,1
1327.0,5
1327.0,2
1341.0,1
1349.0,2
1352.0,1
1354.0,2
1362.0,1
1384.0,2
1412.0,1
1421.0,2
1425.0,1
1427.0,2
1439.0,1
1454.0,2
1458.0,1
1463.0,2
1464.0,4
1470.0,2
1478.0,1
1487.0,5
1487.0,1
1488.0,2
1491.0,1
1509.0,2
1518.0,1
1520.0,2
1551.0,2
1560.0,5
1565.0,1
1570.0,2
1580.0,1
1580.0,2
1590.0,1
1599.0,2
1624.0,4
1629.0,2
1630.0,1
1633.0,2
1655.0,1
1670.0,2
1671.0,1
1674.0,4
1679.0,2
1691.0,1
1692.0,2
1728.0,2
1759.0,1
1765.0,2
1767.0,1
1778.0,2
1786.0,5
1823.0,4
1832.0,5
1839.0,2
1864.0,2
1889.0,1
1889.0,2
1949.0,1
1963.0,2
1973.0,5
1983.0,1
1986.0,5
2007.0,1
2007.0,5
2032.0,1
2038.0,5
2039.0,1
2043.0,5
2058.0,1
2082.0,5
2114.0,1
2126.0,5
2131.0,1
2145.0,2
2167.0,4
2181.0,1
2203.0,2
2214.0,1
2220.0,2
2222.0,1
2257.0,1
2263.0,5
2264.0,2
2268.0,1
2269.0,2
2274.0,1
2296.0,2
2312.0,1
2313.0,2
2318.0,1
2318.0,2
2325.0,1
2330.0,2
2342.0,1
2351.0,2
2355.0,1
2361.0,2
2367.0,5
2368.0,1
2393.0,2
2423.0,2
2438.0,1
2441.0,2
2450.0,5
2450.0,2
2476.0,1
2496.0,2
2501.0,1
2507.0,2
2538.0,2
2541.0,1
2551.0,5
2557.0,1
2569.0,2
2596.0,2
2623.0,1
2623.0,5
2630.0,1
2638.0,2
2655.0,1
2677.0,5
2678.0,2
2683.0,1
2685.0,2
2695.0,1
2728.0,2
2759.0,1
2786.0,5
2791.0,1
2841.0,5
2842.0,1
2875.0,1
2916.0,1
2951.0,1
3004.0,2
3006.0,1
3063.0,2
3068.0,1
3087.0,2
3136.0,2
3178.0,2
3237.0,2
3244.0,1
3248.0,2
3278.0,1
3278.0,2
3322.0,2
3358.0,2
3366.0,5
3398.0,5
3414.0,2
3446.0,2
3453.0,5
3488.0,2
3491.0,5
3495.0,2
3532.0,1
3538.0,2
3538.0,1
3551.0,2
3554.0,1
3560.0,2
3569.0,1
3571.0,2
3572.0,1
3587.0,2
3604.0,1
3610.0,2
3613.0,1
3614.0,2
3629.0,1
3661.0,2
3670.0,1
3673.0,2
3685.0,1
3707.0,2
3737.0,1
3778.0,2
3798.0,1
3831.0,2
3853.0,2
3881.0,1
3889.0,2
3948.0,2
3965.0,1
3971.0,2
3973.0,1
3974.0,2
3982.0,1
3987.0,2
4000.0,1
4006.0,4
4009.0,2
4010.0,4
4018.0,2
4028.0,1
4028.0,2
4033.0,1
4046.0,5
4054.0,1
4075.0,2
4081.0,1
4086.0,2
4088.0,4
4088.0,2
4090.0,1
4094.0,2
4099.0,4
4104.0,2
4185.0,1
4190.0,2
4206.0,1
4276.0,2
4280.0,1
4283.0,2
4296.0,1
4311.0,2
4314.0,1
4337.0,2
4343.0,1
4391.0,2
4412.0,1
4426.0,2
4430.0,1
4435.0,2
4443.0,1
4452.0,2
4474.0,1
4474.0,2
4479.0,1
4520.0,1
4573.0,2
4578.0,1
4579.0,2
4595.0,1
4596.0,2
4616.0,1
4639.0,2
4642.0,1
4643.0,2
4646.0,1
4648.0,2
4654.0,1
4672.0,2
4682.0,5
4691.0,1
4726.0,2
4733.0,1
4760.0,5
4770.0,1
4770.0,5
4775.0,1
4810.0,1
4837.0,2
4840.0,1
4844.0,2
4852.0,1
4853.0,2
4879.0,1
4884.0,2
4912.0,2
4940.0,1
4949.0,5
4984.0,1
4985.0,5
5004.0,4
5013.0,2
5015.0,4
5049.0,1
5056.0,5
5073.0,1
5088.0,2
5091.0,5
5094.0,4
5097.0,1
5097.0,2
5104.0,1
5115.0,2
5117.0,1
5124.0,2
5125.0,1
5127.0,4
5127.0,2
