meeting_id,n_seconds,valid_seconds,candidate_count,threshold,max_composite_score,median_composite_score
2024.10.14startup_a,5486,5186,10,1.9749576644041948,2.645228640911016,0.8264812198886857
2024.10.14startup_b,6045,5745,7,2.0752914476334223,3.7261957300857915,0.8344956596178443
2024.10.25startup_a,5258,4958,7,2.0302049350455063,3.0391210356425695,0.8152866912906893
2024.10.28startup_b,5422,5122,8,2.352556798720389,4.720582210985506,0.8111359407241676
2024.11.04startup_a,5258,4958,9,2.0674270415853075,2.8284239779424207,0.7925420713107452
2024.11.04startup_b,5070,4770,8,2.0691323907873214,2.507312341555615,0.8285679056741555
2024.11.11startup_a,5260,4960,9,2.272763042184392,3.6876445167307814,0.8019191346353587
2024.11.11startup_b,5558,5258,8,1.992867245174779,3.7313478474604547,0.7866861875586073
2024.11.18startup_a,5379,5079,12,2.3142911333917837,4.6420251928318335,0.8536740793962704
2024.11.18startup_b,5339,5039,6,2.1409004044370574,3.297734878542436,0.8088457474115612
2024.12.02startup_b,5421,5121,9,1.814024297548043,2.433337243434953,0.7730617229035012
2024.12.09startup_a,5390,5090,7,2.0048079751018015,3.4231876800222167,0.8023235496480379
2024.12.13startup_a,5206,4906,9,2.130002015644975,5.538852352501691,0.7994043737128083
2024.12.16startup_b,5284,4984,8,2.07128322275482,3.0620062380339803,0.8039470003144049
2024.12.23startup_a,5341,5041,7,2.4129567552480293,3.5209894376621933,0.8239808342847362
2024.12.23startup_b,5512,5212,5,1.9561323665279993,3.025769870450961,0.8405336519358135
2025.01.06startup_a,5685,5385,8,2.0470389581394435,4.302019999337413,0.8212631231421316
2025.01.06startup_b,5847,5547,8,2.196648850133815,3.476091033899445,0.855755316317094
2025.01.13startup_a,5419,5119,12,2.2615999855635107,4.341090635332598,0.8023418269570787
2025.01.13startup_b,5655,5355,10,2.097426967987062,3.1484497079922833,0.7970747728754093
2025.02.10startup_b,5414,5114,8,2.316219019089773,4.121987214895609,0.8184683221662774
2025.02.24startup_a,5133,4833,6,2.278858443318205,2.47855379805182,0.8588396908352833
2025.02.24startup_b,5125,4825,7,2.235481036902117,4.818508263083969,0.8240031678370007
2025.03.02startup_a,5259,4959,11,2.5332286790455267,3.728535626933638,0.8759121280367261
2025.03.17startup_a,5272,4972,10,2.307322692743147,4.028885150566443,0.852018452463385
2025.03.17startup_b,6354,6054,8,2.0405343708125656,3.1015427002760716,0.8192951997729174
2025.03.24startup_b,5275,4975,7,1.9508748280239918,2.94370600689912,0.8102556848900965
2025.03.25startup_a,5115,4815,9,2.40127221621058,3.8206253783378137,0.853767666903487
2025.03.31startup_a,5128,4828,8,2.3052994656771286,3.3194502299042257,0.8612226263993896
2025.03.31startup_b,6326,6026,13,2.2630040822599757,3.37508907866551,0.8715210888897992
2025.04.07startup_a,5933,5633,8,2.2075738953583697,3.2155558930036876,0.8777560017711149
2025.04.07startup_b,6483,6183,7,1.9924820652340587,3.8960766997115512,0.8154914413525503
2025.04.14startup_a,6225,5925,7,2.160368022745739,3.148708626532424,0.8233724250449291
2025.04.14startup_b,5208,4908,5,2.1091788867084396,2.898127755734697,0.8139468023699961
