method,meeting_id,metric_x,metric_y,r,p_value,n
per_meeting,2024.10.14startup_a,entropy,pct_det,-0.34484765423187097,3.3744212357856314e-156,5486
per_meeting,2024.10.14startup_a,entropy,rmse,0.14671511463735085,9.26468641822712e-28,5463
per_meeting,2024.10.14startup_a,pct_det,rmse,-0.3895075994167296,8.47430639056357e-203,5463
per_meeting,2024.10.14startup_b,entropy,pct_det,-0.6341427434874448,0.0,6045
per_meeting,2024.10.14startup_b,entropy,rmse,0.3811202119136513,7.11574555732616e-213,6022
per_meeting,2024.10.14startup_b,pct_det,rmse,-0.47008661819594033,0.0,6022
per_meeting,2024.10.25startup_a,entropy,pct_det,-0.2679042866470399,3.576244488518775e-88,5258
per_meeting,2024.10.25startup_a,entropy,rmse,0.0548387961815442,7.168756291232379e-05,5235
per_meeting,2024.10.25startup_a,pct_det,rmse,-0.4498213768406884,4.912208133644171e-269,5235
per_meeting,2024.10.28startup_b,entropy,pct_det,-0.41177439143354566,8.094936028910864e-228,5422
per_meeting,2024.10.28startup_b,entropy,rmse,0.140618628881366,2.521525971321101e-25,5399
per_meeting,2024.10.28startup_b,pct_det,rmse,-0.3256637025206104,4.6508257762630955e-136,5399
per_meeting,2024.11.04startup_a,entropy,pct_det,-0.0988490915245478,6.517979244188204e-13,5258
per_meeting,2024.11.04startup_a,entropy,rmse,0.07106899671769162,2.614828572879689e-07,5235
per_meeting,2024.11.04startup_a,pct_det,rmse,-0.2992583527741116,1.914354969625968e-110,5235
per_meeting,2024.11.04startup_b,entropy,pct_det,-0.3895840068333055,1.966062396393284e-188,5070
per_meeting,2024.11.04startup_b,entropy,rmse,0.25386177041927854,7.199439245965891e-76,5047
per_meeting,2024.11.04startup_b,pct_det,rmse,-0.4728559418511321,1.8116266933112236e-291,5047
per_meeting,2024.11.11startup_a,entropy,pct_det,-0.26155546466123236,5.736254272478426e-84,5260
per_meeting,2024.11.11startup_a,entropy,rmse,0.010108781168423276,0.4645600680544831,5237
per_meeting,2024.11.11startup_a,pct_det,rmse,-0.4299643211122291,1.0954516891294725e-242,5237
per_meeting,2024.11.11startup_b,entropy,pct_det,-0.47934247773151584,0.0,5558
per_meeting,2024.11.11startup_b,entropy,rmse,0.2726029139472228,4.203962290019631e-96,5535
per_meeting,2024.11.11startup_b,pct_det,rmse,-0.3866627975392159,3.805541796752573e-202,5535
per_meeting,2024.11.18startup_a,entropy,pct_det,-0.4414052656539853,1.274767168605422e-264,5379
per_meeting,2024.11.18startup_a,entropy,rmse,0.21932014270291203,8.195156520181347e-60,5356
per_meeting,2024.11.18startup_a,pct_det,rmse,-0.46461483734014536,1.0702183856686542e-296,5356
per_meeting,2024.11.18startup_b,entropy,pct_det,-0.4051159798065044,2.5480335459923214e-216,5339
per_meeting,2024.11.18startup_b,entropy,rmse,0.19242281733503916,8.799699344620135e-46,5316
per_meeting,2024.11.18startup_b,pct_det,rmse,-0.4631701661863381,2.318563924755105e-292,5316
per_meeting,2024.12.02startup_b,entropy,pct_det,-0.5556353116266393,0.0,5421
per_meeting,2024.12.02startup_b,entropy,rmse,0.19840287953247984,2.3322333795941316e-49,5398
per_meeting,2024.12.02startup_b,pct_det,rmse,-0.2846854284141565,1.4160781050412476e-102,5398
per_meeting,2024.12.09startup_a,entropy,pct_det,-0.302013413751091,7.340258113597573e-116,5390
per_meeting,2024.12.09startup_a,entropy,rmse,-0.02671445095763159,0.050345795865715505,5367
per_meeting,2024.12.09startup_a,pct_det,rmse,-0.3659762589824104,8.0457189829047625e-174,5367
per_meeting,2024.12.13startup_a,entropy,pct_det,-0.39901508123992696,5.7561144766856174e-204,5206
per_meeting,2024.12.13startup_a,entropy,rmse,0.1840139098578182,6.339454297063058e-41,5183
