calibration_case_id,meeting_id,quality_label,peak_second,onset_second,offset_second,temporal_position,timing_bin,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds,window_start_second,window_end_second,segment_n_turns,trigger_type,trigger_subtype,smm_dimension,confidence,content_summary,justification
cal_01,2024.10.14startup_a,include,2169,2169,2175,0.3953700328107911,middle,False,1.6724333972231755,0.4613866804289026,0.8840623076615752,0.03871105319623,99.59482729513456,0.2493057295439473,5486.0,1989,2349,30,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: transformar isso agora.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_02,2024.10.25startup_a,include,4115,4109,4121,0.7826169646253328,late,False,1.8264095982718984,0.3257218412634497,0.3383654094066352,0.3130782731202642,98.22203845358692,0.3278478816525227,5258.0,3935,4295,25,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: E eu acho que tem muito mais Fit com que a gente quer entregar solução. A plugin eu acho que a gente for pensar na ge...,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_03,2024.10.28startup_b,include,2143,2140,2147,0.3952416082626337,middle,True,1.872718699644523,0.2373245017356089,0.0516934574800552,0.4229555459911625,94.2528735632184,0.4641320732405143,5422.0,1963,2323,57,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: De 31 a 34 foi o que a gente,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_04,2024.11.04startup_a,include,2067,2059,2071,0.3931152529478889,middle,True,1.5822671693137729,0.2912067448177779,0.2118045173857411,0.3706089722498147,96.7304060434372,0.2803375988691166,5258.0,1887,2247,35,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: Eu acho que a gente tinha que,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_05,2024.11.04startup_b,include,2954,2945,2964,0.5826429980276134,middle,True,1.902921308304606,0.3102170251926836,0.158119196109076,0.4623148542762912,93.7897235622942,0.3834222714994538,5070.0,2774,3134,44,functional_reorientation,FR_attention,smm_none,conf_low,The segment centers on: É isso mesmo.,"Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_06,2024.11.11startup_a,include,650,640,662,0.123574144486692,early,False,1.858707424775868,0.1255029069291896,0.0043365390157667,0.2466692748426124,98.53879066763542,0.3057630039345056,5260.0,470,830,29,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Por isso é espetacular, viu? Não tava no radar surgiu de repente aí essa contato.","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_07,2024.11.11startup_b,include,2732,2728,2736,0.4915437207628643,middle,True,1.966665652338337,0.2871246403448523,0.0263242127312134,0.5479250679584913,90.67502668089648,0.922019493734835,5558.0,2552,2912,59,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Pode ser que alguém diga não nem de graça, eu quero entrar. Me ligue de quando tiver então fase, né? Porque tudo.","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_08,2024.11.18startup_a,include,714,698,731,0.1327384272169548,early,True,1.9158582303981528,0.0118400209833558,0.0087453117502126,0.0149347302164989,96.61435469710273,0.0976935004899132,5379.0,534,894,26,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Sim, acho que pode seguir tá tudo","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_09,2024.11.18startup_b,include,321,316,335,0.0601236186551788,early,True,1.8942465552913723,0.0744057661122667,0.0793903198761558,0.0694212123483775,94.5861893881696,0.2689321418967462,5339.0,141,501,47,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: É a gente tem alguns detalhes para te passar e ver sua opinião, porque [UNRESOLVED_ENTITY] a gente não conseguiu cheg...","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
cal_10,2024.12.09startup_a,include,2958,2945,2961,0.5487940630797774,middle,True,1.855786642545942,0.2931798987208748,0.3730228357054944,0.2133369617362553,95.27165264832917,0.2885442218269713,5390.0,2778,3138,42,functional_reorientation,FR_attention,smm_none,conf_low,"The segment centers on: Boa eu vou eu vou então, vou fazer o","Model parsing failed during the calibration run: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-2kgpv*************hnXf. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}"
