calibration_case_id,meeting_id,quality_label,peak_second,temporal_position,timing_bin,middle_or_late,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds
cal_01,2024.10.14startup_a,include,2169,0.3953700328107911,middle,True,False,1.6724333972231755,0.4613866804289026,0.8840623076615752,0.03871105319623,99.59482729513456,0.2493057295439473,5486
cal_02,2024.10.25startup_a,include,4115,0.7826169646253328,late,True,False,1.8264095982718984,0.3257218412634497,0.3383654094066352,0.3130782731202642,98.22203845358692,0.3278478816525227,5258
cal_03,2024.10.28startup_b,include,2143,0.3952416082626337,middle,True,True,1.872718699644523,0.2373245017356089,0.0516934574800552,0.4229555459911625,94.2528735632184,0.4641320732405143,5422
cal_04,2024.11.04startup_a,include,2067,0.3931152529478889,middle,True,True,1.5822671693137729,0.2912067448177779,0.2118045173857411,0.3706089722498147,96.7304060434372,0.2803375988691166,5258
cal_05,2024.11.04startup_b,include,2954,0.5826429980276134,middle,True,True,1.902921308304606,0.3102170251926836,0.158119196109076,0.4623148542762912,93.7897235622942,0.3834222714994538,5070
cal_06,2024.11.11startup_a,include,650,0.123574144486692,early,False,False,1.858707424775868,0.1255029069291896,0.0043365390157667,0.2466692748426124,98.53879066763542,0.3057630039345056,5260
cal_07,2024.11.11startup_b,include,2732,0.4915437207628643,middle,True,True,1.966665652338337,0.2871246403448523,0.0263242127312134,0.5479250679584913,90.67502668089648,0.922019493734835,5558
cal_08,2024.11.18startup_a,include,714,0.1327384272169548,early,False,True,1.9158582303981528,0.0118400209833558,0.0087453117502126,0.0149347302164989,96.61435469710273,0.0976935004899132,5379
cal_09,2024.11.18startup_b,include,321,0.0601236186551788,early,False,True,1.8942465552913723,0.0744057661122667,0.0793903198761558,0.0694212123483775,94.5861893881696,0.2689321418967462,5339
cal_10,2024.12.09startup_a,include,2958,0.5487940630797774,middle,True,True,1.855786642545942,0.2931798987208748,0.3730228357054944,0.2133369617362553,95.27165264832917,0.2885442218269713,5390
cal_11,2024.12.23startup_a,include,1491,0.2791612057667103,early,False,True,1.7218367324208503,0.094658023605049,0.156739090595105,0.032576956614993,95.84535037804972,0.0859682312350179,5341
cal_12,2024.12.23startup_b,include,4971,0.9018505079825836,late,True,True,1.6289738159006806,0.4641401835028561,0.2776593481639117,0.6506210188418005,93.85793965459312,0.8127723548390308,5512
cal_13,2025.03.17startup_b,include_with_caution,3428,0.5395026754800126,middle,True,False,1.870832140157877,0.42083615400926,0.5672522164997892,0.2744200915187309,95.55287555589057,0.6063481193615863,6354
cal_14,2025.03.17startup_b,include_with_caution,4529,0.7127793515895499,late,True,False,1.9407698685349704,0.6717149555263036,0.5902918230481217,0.7531380880044856,93.46955360770885,1.0894223326825572,6354
cal_15,2025.03.25startup_a,include_with_caution,305,0.0596285434995112,early,False,True,1.9358358722930813,0.3764678074508135,0.0231020961911927,0.7298335187104343,94.72657660911652,0.4867111272788332,5115
cal_16,2025.03.25startup_a,include_with_caution,3677,0.7188660801564027,late,True,False,1.5749691486891673,0.1157805496675298,0.1407193675893683,0.0908417317456912,97.99919159256264,0.2544391375237735,5115
cal_17,2025.03.31startup_a,include_with_caution,1004,0.1957878315132605,early,False,False,1.8924144226173405,0.1154650722097296,0.1394940997379775,0.0914360446814817,99.10775098760386,0.2157833761102734,5128
cal_18,2025.03.31startup_b,include_with_caution,544,0.0859943092001264,early,False,False,1.5478570234493585,0.2877820868742254,0.4532235346695158,0.1223406390789351,99.27480916030534,0.2405162664550339,6326
cal_19,2025.04.07startup_b,include_with_caution,475,0.0732685485114915,early,False,False,1.964508814039532,0.0639465014568764,0.0693110362481622,0.0585819666655906,94.20226993421528,0.389213932043478,6483
cal_20,2025.04.14startup_a,include_with_caution,4155,0.6674698795180722,late,True,False,1.5125568756434098,0.4855982168577232,0.1867990518159948,0.7843973818994515,96.82831096480122,0.7243593371546133,6225
