event_id,meeting_id,quality_label,peak_second,onset_second,offset_second,temporal_position,timing_bin,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds,window_start_second,window_end_second,segment_n_turns,trigger_type,trigger_subtype,smm_dimension,confidence,content_summary,justification,classifier,reclassified
evt_001,2024.10.14startup_a,include,192,179,224,0.0349981771782719,early,False,1.980952245229484,0.3499517384750528,0.6886262202347858,0.0112772567153198,98.37153952148316,0.2377691646669787,5486.0,12,372,38,functional_reorientation,FR_attention,smm_strategy,conf_medium,"Around t=189s, Speaker 1 introduces new information about a positive partner response — the first contact with a potential partner who expressed strong interest in helping the startup — shifting the conversation from personal updates (Speaker 4's illness) to a substantive business development signal.","The peak at t=192s coincides with a register shift from social/personal updates (Speaker 4 disclosing illness at t=172s, Speaker 2 reassuring at t=180s) to Speaker 1 introducing new external business information: a partner who made first contact and showed strong interest. This is not a disruption of the shared mental model — the team's understanding of their goals and strategy remains intact. Rather, Speaker 1 redirects group attention from relational small talk toward a concrete positive development in their partnership pipeline. The team's shared frame before and after remains consistent: they are pursuing partnerships and tracking progress. No assumption is challenged, no conflict emerges, and no prior plan is invalidated. The entropy spike is explained by the simultaneous presence of multiple communication registers — illness disclosure, reassurance, and a business update — converging in a short window, creating structural complexity without cognitive disruption.",full_run,True
evt_002,2024.10.14startup_a,include,1515,1510,1519,0.2761574917973022,early,False,1.690234376245165,0.3583316653267029,0.5095524653160917,0.2071108653373141,97.3861866020426,0.2110168695314743,5486.0,1335,1695,33,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,"Speaker 4 proposes deferring problem item 8 (mobile charging solution viability) until more partner meetings occur, Speaker 3 agrees citing a key energy generation company contact, and Speaker 2 then introduces a reframe suggesting the team could start with cheaper chargers while battery bank prices drop, referencing inductive charging technology and the need to model pricing — expanding the strategic solution space considerably.","Before this moment, the team was selecting which problem to solve from a prioritized list, treating item 8 as a candidate for immediate discussion. Speaker 4 then challenges this by arguing the team cannot make progress on mobile charging viability yet — surfacing an external constraint (insufficient partner meetings with recycling and energy companies). Speaker 3 reinforces this constraint by pointing to a specific pending meeting with an energy generation investor as a prerequisite. Speaker 2 then shifts the frame further by introducing a generative reframe: starting with lower-cost chargers while battery bank prices fall, referencing inductive charging as a future possibility, and emphasizing the need for pricing models. This combination — a constraint surfacing (can't resolve now) followed immediately by a creative strategic reframe (phased approach, technology roadmap) — disrupts the team's prior assumption that item 8 was actionable today and opens a new strategic framing around phased deployment and pricing research. The entropy spike reflects the collision of constraint recognition, disagreement about timing, and generative ideation happening simultaneously.",full_run,True
evt_003,2024.10.14startup_a,include,2169,2169,2175,0.3953700328107911,middle,False,1.6724333972231755,0.4613866804289026,0.8840623076615752,0.03871105319623,99.59482729513456,0.2493057295439473,5486.0,1989,2349,30,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,The team discusses two MVP paths: partnering with a supplier and finding an initial client to make the MVP concrete.,"The team is elaborating an existing line of action (MVP development), detailing two concrete next steps without disrupting the shared frame. No competing interpretations or frame-challenging content appears; the conversation builds on the established problem and converts it into structured tasks.",calibration,False
evt_004,2024.10.14startup_a,include,3271,3243,3280,0.5962449872402479,middle,False,1.9124457035653704,0.4825385043641567,0.2818755114281938,0.6832014973001197,96.10647596344856,0.4394521536553857,5486.0,3091,3451,35,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Speaker 2 challenges the team's assumption that Uber/delivery drivers are the right driver segment, arguing that a driver already earning from those platforms has 'resolved income' and won't easily switch, forcing a reframe toward drivers who are currently unemployed or underemployed and seeking new income streams entirely.","Before this moment, the team was debating how to make their charging service financially attractive to drivers who already work for Uber or 'Movie' (a delivery platform), treating hybrid work as a viable model. Speaker 4 had raised a physical constraint (cargo space lost to charging equipment), and Speaker 3 suggested dedicated drivers. Then Speaker 2 explicitly invalidates the reference frame at t=3357s: 'a referência do [UNRESOLVED_ENTITY] movie não tá ajudando muito na discussão. Porque esse ele já tá com a renda resolvida.' This directly contradicts the prior shared assumption that active gig-economy drivers are the primary target segment. Speaker 2 then introduces a different persona — someone who has an old car, no current job, and is looking for a new income source — fundamentally reframing who the driver-partner is. This disrupts the team's strategic mental model about driver acquisition and competitive positioning, forcing reconsideration of the entire driver segmentation strategy.",full_run,True
evt_005,2024.10.14startup_a,include,4453,4443,4463,0.8117025154939846,late,False,1.736339181998297,0.2324167289529783,0.2668901355194937,0.197943322386463,97.38778331934226,0.2824862955259511,5486.0,4273,4633,39,functional_reorientation,FR_attention,smm_strategy,conf_medium,"Around t=4451s, Speaker 4 proposes reconsidering how a backlog item about finding condominiums with EV charger needs is categorized, suggesting it already has a defined action (calling condominiums, visiting neighborhoods in LOCATION_B), and proposes adding a concrete task and marking it with today's date as resolved or in-progress, shifting the team's framing of the item from open problem to actionable plan.","Before this moment, the team was debating whether to keep or discard a backlog item about finding condominiums interested in EV chargers ('eledoptero'/'docker'), with Speaker 2 suggesting removing it and Speaker 1 expressing low enthusiasm ('tesão nenhuma'). The entropy spike is explained by the simultaneous presence of competing proposals (discard vs. keep), overlapping speech, and fragmented turns. Speaker 4 then reframes the item at t=4524s by asserting that the team already has a defined action — contacting a building manager and building a list of neighborhoods to visit — effectively converting an ambiguous open item into a concrete task. This reframe does not challenge the team's core strategy but redirects attention and restructures how the item is processed. The shared understanding shifts from 'should we keep this item?' to 'we already have a plan, let's formalize it.' No fundamental assumption is overturned; the team simply reorganizes around a clearer procedural framing of an existing goal, making this a functional reorientation focused on attention redirection and procedural clarification.",full_run,True
evt_006,2024.10.14startup_a,include,5240,5230,5248,0.955158585490339,late,True,1.7283412475895337,0.6331457914573153,0.3199510207398323,0.9463405621747984,95.15700671770036,0.833180494997918,5486.0,5060,5420,46,functional_reorientation,FR_procedural,smm_none,conf_high,"Speaker 2 transitions the meeting into a structured retrospective rating exercise, asking each member to score the meeting from 0 to 10. Speaker 1 gives a 6 citing lack of fluidity as a first meeting, Speaker 4 gives an 8 praising agenda adherence and coverage of six axes, and Speaker 3 gives a 6 noting unresolved issues and insufficient task direction, triggering a multi-voice evaluative exchange with diverging assessments of meeting quality.","The entropy spike is explained by a sudden shift in meeting register and format: Speaker 2 introduces a retrospective rating protocol ('a perguntinha... que nota dá para reunião de 0 a 10'), which is a procedural reorientation. This triggers a cascade of multi-speaker evaluative turns with overlapping, interrupted speech (Speakers 4 and 3 negotiating who speaks first at t=5248–5251), diverging numerical scores (6, 8, 6), and qualitatively different rationales — fluidity, agenda compliance, task clarity. The team's shared understanding before this moment was task-focused (reviewing the weekly plan); after the transition, the frame shifts entirely to meta-level self-assessment of the meeting process itself. No assumption is challenged or invalidated — the team simply moves into a new communicative format that generates high structural variety through simultaneous multi-voice reflection, explaining the entropy peak without constituting a cognitive perturbation.",full_run,True
evt_007,2024.10.25startup_a,include,1078,1042,1088,0.205020920502092,early,False,1.9131516004274849,0.3290802730931915,0.6311276959554699,0.027032850230913,98.367161809729,0.1808351020050803,5258.0,898,1258,22,cognitive_perturbation,CP_constraint,smm_constraints,conf_high,"Speaker 3 introduces a supply-side coordination risk: the team might sell a charging service and then be unable to fulfill it because their hardware partner ('pluguinho') cannot deliver on short notice, reframing the operational risk away from technical execution toward partner dependency and commitment reliability.","Before Speaker 3's intervention (t=1043s), the shared mental model treated the 'pluguinho' power bank solution as low-risk and nearly ready to deploy — Speaker 2 explicitly said 'enxergo um risco muito baixo com aquela solução da plugin' because it is a ready-made 80kW unit requiring only plug-in. Speaker 3 disrupts this by surfacing a different risk dimension: the team might promise a recharge to a customer tomorrow and then discover the partner cannot deliver on that timeline ('a gente falha pluguinho preciso para amanhã, não vou conseguir'). This is a constraint that was not previously part of the group's risk calculus — it is not about technical operation but about partner availability and commitment. Speaker 4 then compounds this by raising a further dependency question about how the battery bank gets recharged after use, pointing to PARTNER_A. The peak entropy at t=1078s reflects the simultaneous emergence of multiple competing risk frames (operational, partner-coordination, recharge logistics) that fragment the previously simple 'just plug it in' mental model, constituting a genuine disruption of the team's shared strategic assumptions about MVP feasibility.",full_run,True
evt_008,2024.10.25startup_a,include,2343,2340,2347,0.4456066945606695,middle,False,1.801263060910678,0.2883785289146148,0.2666820051595505,0.310075052669679,96.32104620248616,0.5371347711986251,5258.0,2163,2523,58,cognitive_perturbation,CP_generative,smm_strategy,conf_high,"Speaker 1 reframes the team's chicken-and-egg dilemma by proposing they 'anticipate a truth' — simultaneously telling both the charging location partner and the EV supplier that the operation can start next week, using each party's tentative agreement to unlock the other, rather than waiting for one to confirm first.","Before this moment, the team was stuck in a circular dependency: they couldn't commit a date to the location partner (UNRESOLVED_ENTITY) without having the EV (plugin) available, and couldn't secure the EV without a confirmed location. Speaker 3 explicitly names this as the 'ovo ou galinha' (chicken-and-egg) problem at t=2354, and Speaker 1 confirms it. The entropy peak coincides with Speaker 1 introducing a creative reframe at t=2363: instead of resolving the dependency sequentially, contact both parties in parallel and 'anticipate a truth' — tell each that the operation is ready to start next week, using the conditional agreement of one to close the other. This disrupts the team's prior assumption that they needed a confirmed asset before approaching the partner, expanding the strategic possibility space. The team's shared mental model shifts from a sequential gating logic to a parallel negotiation strategy, which is a genuine generative disruption rather than mere elaboration.",full_run,True
evt_009,2024.10.25startup_a,include,2475,2472,2487,0.4707112970711297,middle,False,1.8847324924850224,0.3839145171799635,0.2468366092301736,0.5209924251297534,96.31655725747628,0.5030674991934717,5258.0,2295,2655,54,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,Mentor generates 'anticipating a truth' strategy to resolve chicken-and-egg coordination problem,Novel negotiation heuristic: tell each party the timeline as anticipation of truth rather than a lie.,full_run,False
evt_010,2024.10.25startup_a,include,2554,2528,2594,0.4857360213008748,middle,False,1.948738046931766,0.0421951131691028,0.0389887568802456,0.0454014694579599,96.96949646000132,0.1049109671022969,5258.0,2374,2734,42,cognitive_perturbation,CP_generative,smm_strategy,conf_high,"Speaker 3 introduces a major strategic pivot: abandoning the delayed PARTNER_G-dependent test plan at an unspecified park and replacing it with a new partner (Plugin, a startup) to conduct the EV rescue test in LOCATION_B, arguing this better demonstrates their solution and is easier to execute, while PARTNER_G has been unresponsive for a long time.","Before Speaker 3's extended turn (~t=2613s), the team was discussing incremental coordination steps — scheduling meetings, MVP scope, and charging infrastructure at PARTNER_A. Speaker 3 then introduces a full strategic reframe: the original test plan (four-wheel vehicle to a park, rescued by PARTNER_G's truck with a charging adapter) is stalled because PARTNER_G has not responded. A new partner, Plugin, has emerged as a more agile, commercially motivated alternative. Speaker 3 proposes relocating the test to LOCATION_B and using Plugin's ready-made solution instead. This directly invalidates the prior test strategy by revealing PARTNER_G's unresponsiveness as a blocking constraint and simultaneously introduces a generative alternative. The team's shared understanding of how the MVP test would be executed is fundamentally disrupted. Given the dual nature — invalidation of old plan plus introduction of new one — the dominant signal is generative reframing expanding the possibility space with a concrete new path.",full_run,True
