event_id,meeting_id,quality_label,peak_second,onset_second,offset_second,temporal_position,timing_bin,joint_corroborated,peak_entropy,combined_delta,z_delta_entropy,z_delta_pct_det,peak_pct_det,peak_rmse,meeting_duration_seconds,window_start_second,window_end_second,segment_n_turns,trigger_type,trigger_subtype,smm_dimension,confidence,content_summary,justification,classifier,reclassified_v3
evt_001,2024.10.14startup_a,include,192,179,224,0.0349981771782719,early,False,1.980952245229484,0.3499517384750528,0.6886262202347858,0.0112772567153198,98.37153952148316,0.2377691646669787,5486.0,12,372,38,functional_reorientation,FR_attention,smm_goals,conf_medium,"Meeting opens with check-ins, travel story, health update, and partner contact news, then transitions to scorecard review and enumeration of semester goals including client targets and expansion metrics.","The entropy peak around t=192s coincides with a dense convergence of overlapping threads: Speaker 4 disclosing illness, Speaker 1 reporting a positive partner contact, Speaker 3 summarizing progress, and the group pivoting to scorecard and goal metrics. No assumption is invalidated, no divergence surfaces, and no forced revision occurs. The complexity reflects simultaneous topic-switching and multi-speaker updates during a structured meeting opening, not a frame-disrupting event.",corrected_prompt_v3,True
evt_002,2024.10.14startup_a,include,1515,1510,1519,0.2761574917973022,early,False,1.690234376245165,0.3583316653267029,0.5095524653160917,0.2071108653373141,97.3861866020426,0.2110168695314743,5486.0,1335,1695,33,functional_reorientation,FR_attention,smm_strategy,conf_medium,"Team transitions from task review to selecting a problem to solve; Speaker 4 proposes deferring issue #8 (mobile charging solution viability), triggering discussion about battery banks, chargers, and pricing feasibility.","The excerpt shows a meeting phase transition into problem-solving selection, followed by collective deliberation on which issue to tackle. Speaker 4 argues issue #8 should be deferred pending more partner meetings, and Speaker 2 introduces cost considerations around chargers vs. battery banks. This enriches the shared frame without disrupting it — no assumption is invalidated, no divergence emerges, and the team converges on deferral without conflict.",corrected_prompt_v3,True
evt_003,2024.10.14startup_a,include,2169,2169,2175,0.3953700328107911,middle,False,1.6724333972231755,0.4613866804289026,0.8840623076615752,0.03871105319623,99.59482729513456,0.2493057295439473,5486.0,1989,2349,30,functional_reorientation,FR_elaboration,smm_strategy,conf_medium,The team discusses two MVP paths: partnering with a supplier and finding an initial client to make the MVP concrete.,"The team is elaborating an existing line of action (MVP development), detailing two concrete next steps without disrupting the shared frame. No competing interpretations or frame-challenging content appears; the conversation builds on the established problem and converts it into structured tasks.",calibration,False
evt_004,2024.10.14startup_a,include,3271,3243,3280,0.5962449872402479,middle,False,1.9124457035653704,0.4825385043641567,0.2818755114281938,0.6832014973001197,96.10647596344856,0.4394521536553857,5486.0,3091,3451,35,cognitive_perturbation,CP_invalidation,smm_strategy,conf_high,"Team discovers that a hybrid driver model (splitting between their platform and competitors like Uber/Movie) is unworkable due to space constraints and income competition, forcing reconsideration of driver acquisition strategy.","Speaker 4 raises a concrete constraint: drivers carrying their equipment lose cargo space for competitor deliveries, undermining the hybrid model. Speaker 3 concludes 'não dá para ser híbrido,' invalidating an implicit assumption. Speaker 2 then reframes the driver persona entirely—from hybrid gig worker to someone without current income—revealing the team held divergent assumptions about who their driver is and how to attract them.",corrected_prompt_v3,True
evt_005,2024.10.14startup_a,include,4453,4443,4463,0.8117025154939846,late,False,1.736339181998297,0.2324167289529783,0.2668901355194937,0.197943322386463,97.38778331934226,0.2824862955259511,5486.0,4273,4633,39,functional_reorientation,FR_procedural,smm_task,conf_medium,"Team reviews backlog items under time pressure, deciding to discard, defer, or reframe tasks—including relabeling a market-scope item and converting a condominium outreach discussion into a concrete dated action.","The excerpt shows the team systematically triaging a task list: removing low-priority items, marking others as 'descartada,' and converting an existing discussion point into a scheduled action with today's date. Speaker 4's proposal to formalize the condominium visit list enriches but does not disrupt the shared frame—it operationalizes what was already agreed. No divergence, invalidation, or forced revision is evident.",corrected_prompt_v3,True
evt_006,2024.10.14startup_a,include,5240,5230,5248,0.955158585490339,late,True,1.7283412475895337,0.6331457914573153,0.3199510207398323,0.9463405621747984,95.15700671770036,0.833180494997918,5486.0,5060,5420,46,functional_reorientation,FR_procedural,smm_none,conf_high,"Team transitions from weekly task review to a structured meeting rating ritual, with each member giving scores (6, 8, 6) and explaining their reasoning about fluidity, agenda adherence, and task clarity.","The excerpt shows a clear meeting phase transition: task scheduling closes and a retrospective rating ritual opens. Each speaker offers a numeric score with personal reasoning about meeting quality. No divergence, invalidation, or generative tension is present — members converge on similar themes (fluidity, first-meeting learning curve) without disrupting any shared frame. This is a closing procedural routine.",corrected_prompt_v3,True
evt_007,2024.10.25startup_a,include,1078,1042,1088,0.205020920502092,early,False,1.9131516004274849,0.3290802730931915,0.6311276959554699,0.027032850230913,98.367161809729,0.1808351020050803,5258.0,898,1258,22,functional_reorientation,FR_procedural,smm_constraints,conf_medium,"Speaker 3 flags that the real risk is supplier alignment with 'pluguinho', not the charging operation itself, while Speaker 2 pivots to reviewing backlog items and requesting marketing strategy additions from the mentor.","Speaker 3 introduces a constraint discovery: selling a recharge for 'tomorrow' without confirming supplier availability is the actual risk, reframing the prior assumption that the plug-in solution was low-risk. However, the team quickly absorbs this and transitions into backlog review and agenda structuring. The entropy peak reflects multiple simultaneous threads—risk reframing, supplier concern, and meeting reorganization—but no sustained frame disruption occurs. The dominant activity is procedural agenda management.",corrected_prompt_v3,True
evt_008,2024.10.25startup_a,include,2343,2340,2347,0.4456066945606695,middle,False,1.801263060910678,0.2883785289146148,0.2666820051595505,0.310075052669679,96.32104620248616,0.5371347711986251,5258.0,2163,2523,58,cognitive_perturbation,CP_generative,smm_strategy,conf_high,Mentor reframes the chicken-and-egg deadlock between securing a charging location and equipment access by proposing to 'anticipate a truth' — contacting both parties simultaneously with a near-ready timeline.,"Speaker 3 names the chicken-and-egg problem explicitly, and Speaker 1 responds with a novel tactical reframe: tell both partners the solution is ready 'next week' to break the dependency loop. This introduces a new strategic possibility the team had not considered, requiring collective evaluation of whether to adopt it — evidenced by immediate discussion of applying it to additional partners. This is generative tension, not routine elaboration.",corrected_prompt_v3,True
evt_009,2024.10.25startup_a,include,2475,2472,2487,0.4707112970711297,middle,False,1.8847324924850224,0.3839145171799635,0.2468366092301736,0.5209924251297534,96.31655725747628,0.5030674991934717,5258.0,2295,2655,54,cognitive_perturbation,CP_generative,smm_strategy,conf_medium,Mentor generates 'anticipating a truth' strategy to resolve chicken-and-egg coordination problem,Novel negotiation heuristic: tell each party the timeline as anticipation of truth rather than a lie.,full_run,False
evt_010,2024.10.25startup_a,include,2554,2528,2594,0.4857360213008748,middle,False,1.948738046931766,0.0421951131691028,0.0389887568802456,0.0454014694579599,96.96949646000132,0.1049109671022969,5258.0,2374,2734,42,cognitive_perturbation,CP_generative,smm_strategy,conf_high,"Speaker 3 proposes abandoning the original test plan with PARTNER_G (delayed, park-based) in favor of a new partner (Plugin startup) enabling urban testing, explicitly framing this as a strategic pivot.","Speaker 3 explicitly identifies a 'dilema' and proposes changing the existing test plan: replacing PARTNER_G (blocked, slow) with a new startup partner offering a ready solution and greater openness to partnership. This introduces a generative tension — a new possibility that requires the team to evaluate whether to revise their current approach. The mentor is asked for input, signaling collective re-evaluation rather than routine elaboration.",corrected_prompt_v3,True
