event_id,diagnosis_group,v1_trigger_type,v2_trigger_type,corrected_trigger_type,v1_subtype,v2_subtype,corrected_subtype,gold_trigger_type,gold_subtype,corrected_eq_v1,corrected_eq_v2,corrected_eq_gold,corrected_confidence
evt_003,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_elaboration,functional_reorientation,FR_elaboration,True,True,True,conf_medium
evt_012,gold_standard,cognitive_perturbation,cognitive_perturbation,cognitive_perturbation,CP_divergence,CP_divergence,CP_generative,cognitive_perturbation,CP_divergence,True,True,True,conf_medium
evt_019,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_procedural,cognitive_perturbation,CP_generative,False,False,False,conf_medium
evt_024,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_elaboration,cognitive_perturbation,CP_generative,False,False,False,conf_medium
evt_031,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_elaboration,functional_reorientation,FR_elaboration,True,True,True,conf_medium
evt_033,gold_standard,cognitive_perturbation,cognitive_perturbation,cognitive_perturbation,CP_generative,CP_generative,CP_generative,cognitive_perturbation,CP_generative,True,True,True,conf_medium
evt_042,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_constraint,CP_constraint,FR_role,cognitive_perturbation,CP_constraint,False,False,False,conf_medium
evt_046,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_procedural,FR_procedural,FR_elaboration,functional_reorientation,FR_procedural,True,True,True,conf_medium
evt_052,gold_standard,cognitive_perturbation,cognitive_perturbation,cognitive_perturbation,CP_constraint,CP_constraint,CP_invalidation,cognitive_perturbation,CP_constraint,True,True,True,conf_high
evt_062,gold_standard,cognitive_perturbation,cognitive_perturbation,functional_reorientation,CP_generative,CP_generative,FR_procedural,cognitive_perturbation,CP_generative,False,False,False,conf_high
evt_072,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_procedural,functional_reorientation,FR_elaboration,True,True,True,conf_high
evt_082,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_elaboration,functional_reorientation,FR_elaboration,True,True,True,conf_medium
evt_126,gold_standard,functional_reorientation,functional_reorientation,functional_reorientation,FR_elaboration,FR_elaboration,FR_procedural,functional_reorientation,FR_elaboration,True,True,True,conf_high
